Organism_name	Organism_groups	BioProject	Assembly	Size_in_Mb	GC_percent
Mannheimia_haemolytica_M42548	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA196475	GCA_000376645.1	2.73187	41
Pediococcus_pentosaceus_ATCC_25745	Bacteria;Terrabacteria group;Firmicutes	PRJNA398	GCA_000014505.1	1.83239	37.4
Lactobacillus_brevis_ATCC_367	Bacteria;Terrabacteria group;Firmicutes	PRJNA404	GCA_000014465.1	2.34023	46.0393
Brevibacterium_linens	Bacteria;Terrabacteria group;Actinobacteria	PRJNA314739	GCA_001606005.1	3.86224	64.2
Serratia_marcescens_subsp._marcescens_Db11	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEB4201	GCA_000513215.1	5.1138	59.5
Mycoplasma_gallisepticum_str._R(low)	Bacteria;Terrabacteria group;Tenericutes	PRJNA409	GCA_000092585.1	1.0128	31.5
Wolinella_succinogenes_DSM_1740	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA445	GCA_000196135.1	2.11036	48.5
Chromobacterium_violaceum_ATCC_12472	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA444	GCA_000007705.1	4.75108	64.8
Myxococcus_xanthus_DK_1622	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA1421	GCA_000012685.1	9.13976	68.9
Mycoplasma_arthritidis	Bacteria;Terrabacteria group;Tenericutes	PRJEB6403	GCA_900660715.1	0.806209	30.7
Methylobacillus_flagellatus_KT	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA10647	GCA_000013705.1	2.97152	55.7
Exiguobacterium_sibiricum_255-15	Bacteria;Terrabacteria group;Firmicutes	PRJNA10649	GCA_000019905.1	3.04079	47.6793
Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA-149	Bacteria;Terrabacteria group;Actinobacteria	PRJNA10689	GCA_000017305.1	4.95667	74.2104
Ehrlichia_canis_str._Jake	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA10694	GCA_000012565.1	1.31503	29
Rubrobacter_xylanophilus_DSM_9941	Bacteria;Terrabacteria group;Actinobacteria	PRJNA10670	GCA_000014185.1	3.22575	70.5
Burkholderia_vietnamiensis_LMG_10929	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA235223	GCA_000959445.1	6.9305	66.8371
Methylibium_petroleiphilum_PM1	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA10789	GCA_000015725.1	4.64364	68.7869
Cutibacterium_acnes_KPA171202	Bacteria;Terrabacteria group;Actinobacteria	PRJNA12460	GCA_000008345.1	2.56026	60
Staphylococcus_haemolyticus_JCSC1435	Bacteria;Terrabacteria group;Firmicutes	PRJNA12508	GCA_000009865.1	2.69786	32.7885
Brucella_ovis_ATCC_25840	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA12514	GCA_000016845.1	3.27559	57.2
Campylobacter_coli	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA243331	GCA_003030205.1	1.92527	31.0685
Campylobacter_lari_RM2100	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA12517	GCA_000019205.1	1.57166	29.6177
Mycoplasma_bovis_PG45	Bacteria;Terrabacteria group;Tenericutes	PRJNA12525	GCA_000183385.1	1.0034	29.3
Persephonella_marina_EX-H1	Bacteria;Aquificae;Aquificae	PRJNA12526	GCA_000021565.1	1.98397	37.1242
Simkania_negevensis_Z	Bacteria;PVC group;Chlamydiae	PRJEA49035	GCA_000237205.1	2.62838	41.6242
Sulfurihydrogenibium_azorense_Az-Fu1	Bacteria;Aquificae;Aquificae	PRJNA12529	GCA_000021545.1	1.64088	32.8
Chlorobium_limicola_DSM_245	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA12606	GCA_000020465.1	2.76318	51.3
Chlorobium_phaeovibrioides_DSM_265	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA12607	GCA_000016085.1	1.96686	53
Erwinia_amylovora_CFBP1430	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA46805	GCA_000091565.1	3.83383	53.5749
Halobacteriovorax_marinus_SJ	Bacteria;Proteobacteria;Oligoflexia	PRJNA50431	GCA_000210915.2	3.43791	36.6997
Proteus_mirabilis_HI4320	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA12624	GCA_000069965.1	4.0999	38.8761
Klebsiella_oxytoca	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA246471	GCA_001022195.1	7.22729	55.2606
Clostridium_beijerinckii	Bacteria;Terrabacteria group;Firmicutes	PRJNA260606	GCA_000833105.2	6.48539	30
Citrobacter_koseri_ATCC_BAA-895	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA12716	GCA_000018045.1	4.73536	53.7998
Cronobacter_sakazakii	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA276173	GCA_000982825.1	4.66357	56.6285
Prosthecochloris_aestuarii_DSM_271	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA12749	GCA_000020625.1	2.5797	50.1104
Rickettsia_canadensis_str._McKiel	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA12952	GCA_000014345.1	1.15977	31.1
Rickettsia_akari_str._Hartford	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA12953	GCA_000018205.1	1.23106	32.3
Streptomyces_scabiei_87.22	Bacteria;Terrabacteria group;Actinobacteria	PRJEA40749	GCA_000091305.1	10.1487	71.5
Desulfotalea_psychrophila_LSv54	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA12751	GCA_000025945.1	3.65963	46.6208
Acaryochloris_marina_MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	PRJNA12997	GCA_000018105.1	8.3616	46.9889
Pelodictyon_phaeoclathratiforme_BU-1	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA13011	GCA_000020645.1	3.01824	48.1
Syntrophobacter_fumaroxidans_MPOB	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA13013	GCA_000014965.1	4.99025	59.9
Syntrophomonas_wolfei_subsp._wolfei_str._Goettingen_G311	Bacteria;Terrabacteria group;Firmicutes	PRJNA13014	GCA_000014725.1	2.9362	44.9
Hydrogenovibrio_crunogenus_XCL-2	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13018	GCA_000012605.1	2.42773	43.1
Sulfurimonas_denitrificans_DSM_1251	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA13019	GCA_000012965.1	2.20156	34.5
Thiobacillus_denitrificans_ATCC_25259	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13025	GCA_000012745.1	2.90981	66.1
[Mannheimia]_succiniciproducens_MBEL55E	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13068	GCA_000007745.1	2.31408	42.5
Nocardia_farcinica	Bacteria;Terrabacteria group;Actinobacteria	PRJEB6403	GCA_001182745.2	6.45978	70.6053
Photobacterium_profundum_SS9	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13128	GCA_000196255.1	6.40328	41.7454
[Eubacterium]_eligens_ATCC_27750	Bacteria;Terrabacteria group;Firmicutes	PRJNA29073	GCA_000146185.1	2.83139	37.567
Marinobacter_hydrocarbonoclasticus_ATCC_49840	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEA91119	GCA_000284615.1	3.98948	57.4
Nautilia_profundicola_AmH	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA32573	GCA_000021725.1	1.67644	33.5
Aromatoleum_aromaticum_EbN1	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13242	GCA_000025965.1	4.72726	64.6764
Bacillus_clausii_KSM-K16	Bacteria;Terrabacteria group;Firmicutes	PRJNA13291	GCA_000009825.1	4.30387	44.8
Gluconobacter_oxydans_H24	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA173388	GCA_000311765.1	3.81623	56.1944
Pelobacter_carbinolicus_DSM_2380	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA13337	GCA_000012885.1	3.66589	55.1
Wolbachia_endosymbiont_of_Drosophila_simulans_wNo	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA176302	GCA_000376585.1	1.30182	34
Wolbachia_endosymbiont_of_Drosophila_ananassae	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA393867	GCA_008033215.1	1.40146	35.2
Actinobacillus_succinogenes_130Z	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13370	GCA_000017245.1	2.31966	44.9
Agrobacterium_vitis_S4	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13372	GCA_000016285.1	6.32095	57.4965
[Bacillus]_selenitireducens_MLS10	Bacteria;Terrabacteria group;Firmicutes	PRJNA13376	GCA_000093085.1	3.59249	48.7
Bacteroides_vulgatus_ATCC_8482	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA13378	GCA_000012825.1	5.16319	42.2
Pelobacter_propionicus_DSM_2379	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA13384	GCA_000015045.1	4.24112	58.4603
Shewanella_amazonensis_SB2B	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13385	GCA_000015245.1	4.30614	53.6
Shewanella_denitrificans_OS217	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13390	GCA_000013765.1	4.54591	45.1
Shewanella_frigidimarina_NCIMB_400	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13391	GCA_000014705.1	4.84526	41.6
Xenorhabdus_bovienii_SS-2004	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13399	GCA_000027225.1	4.2255	45
Xenorhabdus_nematophila_AN6/1	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEB5061	GCA_000953355.1	4.58666	44.2573
Spiroplasma_citri	Bacteria;Terrabacteria group;Tenericutes	PRJNA296877	GCA_001886855.1	1.64088	25.5462
Moraxella_catarrhalis_BBH18	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA46869	GCA_000092265.1	1.86329	41.7
Mycoplasma_fermentans_M64	Bacteria;Terrabacteria group;Tenericutes	PRJNA13415	GCA_000186005.1	1.11875	26.9
Polaromonas_naphthalenivorans_CJ2	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13418	GCA_000015505.1	5.36614	61.6566
Citrobacter_rodentium_ICC168	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEA34685	GCA_000027085.1	5.44428	54.5286
Deinococcus_geothermalis_DSM_11300	Bacteria;Terrabacteria group;Deinococcus-Thermus	PRJNA13423	GCA_000196275.1	3.24702	66.4409
Desulfotomaculum_reducens_MI-1	Bacteria;Terrabacteria group;Firmicutes	PRJNA13424	GCA_000016165.1	3.6081	42.3
Helicobacter_mustelae	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJEB6403	GCA_900476215.1	1.57661	42.5
Heliobacterium_modesticaldum_Ice1	Bacteria;Terrabacteria group;Firmicutes	PRJNA13427	GCA_000019165.1	3.07541	57
Listeria_ivanovii_subsp._londoniensis	Bacteria;Terrabacteria group;Firmicutes	PRJEB6403	GCA_900637745.1	3.00712	37
Listeria_seeligeri_serovar_1/2b_str._SLCC3954	Bacteria;Terrabacteria group;Firmicutes	PRJEA41123	GCA_000027145.1	2.79764	37.4
Listeria_welshimeri_serovar_6b_str._SLCC5334	Bacteria;Terrabacteria group;Firmicutes	PRJNA13443	GCA_000060285.1	2.81413	36.4
Nodularia_spumigena_UHCC_0039	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	PRJNA352241	GCA_003054475.1	5.38661	41.264
Pseudoalteromonas_atlantica_T6c	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13454	GCA_000014225.1	5.18701	44.6
Pseudoalteromonas_tunicata	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA485019	GCA_003568825.1	4.96752	39.9011
Roseiflexus_castenholzii_DSM_13941	Bacteria;Terrabacteria group;Chloroflexi	PRJNA13462	GCA_000017805.1	5.7233	60.7
Caldicellulosiruptor_saccharolyticus_DSM_8903	Bacteria;Terrabacteria group;Firmicutes	PRJNA13466	GCA_000016545.1	2.97027	35.3
Herminiimonas_arsenicoxydans	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13467	GCA_000026125.1	3.42431	54.3
Edwardsiella_ictaluri_93-146	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA34853	GCA_000022885.2	3.8123	57.4
Neisseria_lactamica_020-06	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13472	GCA_000196295.1	2.22061	52.3
Nitrobacter_hamburgensis_X14	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13473	GCA_000013885.1	5.01152	61.6047
Nitrobacter_winogradskyi_Nb-255	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13474	GCA_000012725.1	3.40209	62
Aster_yellows_witches'-broom_phytoplasma_AYWB	Bacteria;Terrabacteria group;Tenericutes	PRJNA13478	GCA_000012225.1	0.72397	26.8254
Erythrobacter_litoralis	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA339618	GCA_001719165.1	3.25135	65.2
Parabacteroides_distasonis_ATCC_8503	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA13485	GCA_000012845.1	4.81138	45.1
Bifidobacterium_breve_DSM_20213_=_JCM_1192	Bacteria;Terrabacteria group;Actinobacteria	PRJDB57	GCA_001025175.1	2.26941	58.9
Clostridium_ljungdahlii_DSM_13528	Bacteria;Terrabacteria group;Firmicutes	PRJNA13492	GCA_000143685.1	4.63007	31.1
Psychroflexus_torquis_ATCC_700755	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA13542	GCA_000153485.2	4.32183	34.5
Croceibacter_atlanticus_HTCC2559	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA13570	GCA_000196315.1	2.95296	33.9
Rhodococcus_jostii_RHA1	Bacteria;Terrabacteria group;Actinobacteria	PRJNA13693	GCA_000014565.1	9.70274	66.9735
Rickettsia_felis_URRWXCal2	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13884	GCA_000012145.1	1.58724	32.5609
Shewanella_loihica_PV-4	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13906	GCA_000016065.1	4.60259	53.7
Sphingopyxis_alaskensis_RB2256	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13907	GCA_000013985.1	3.37371	65.4569
Rhodoferax_ferrireducens_T118	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13908	GCA_000013605.1	4.96978	59.6151
Nitrosospira_multiformis_ATCC_25196	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13912	GCA_000196355.1	3.23431	53.835
Nitrosomonas_eutropha_C91	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13913	GCA_000014765.1	2.78182	48.5544
Psychrobacter_cryohalolentis_K5	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13920	GCA_000013905.1	3.1011	42.2468
Chlorobium_chlorochromatii_CaD3	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA13921	GCA_000012585.1	2.57208	44.3
Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305_=_NCTC_7292	Bacteria;Terrabacteria group;Firmicutes	PRJNA15596	GCA_000010125.1	2.5779	33.1473
Pseudothermotoga_lettingae_TMO	Bacteria;Thermotogae;Thermotogae	PRJNA15644	GCA_000017865.1	2.13534	38.7
Gimesia_maris	Bacteria;PVC group;Planctomycetes	PRJNA564883	GCA_009720545.1	7.81825	50.4
Stigmatella_aurantiaca_DW4/3-1	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA52561	GCA_000165485.1	10.2608	67.5
Bacillus_coagulans	Bacteria;Terrabacteria group;Firmicutes	PRJNA285520	GCA_001039495.1	3.69484	46.2
Desulfovibrio_magneticus_RS-1	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJDA32105	GCA_000010665.1	5.31562	62.7043
Herbaspirillum_seropedicae	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA287245	GCA_001040945.1	5.50972	63.4
Shewanella_violacea_DSS12	Bacteria;Proteobacteria;Gammaproteobacteria	PRJDA34739	GCA_000091325.1	4.9621	44.7
Xanthobacter_autotrophicus_Py2	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA15756	GCA_000017645.1	5.6251	67.3763
Alkalilimnicola_ehrlichii_MLHE-1	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA15763	GCA_000014785.1	3.27594	67.5
Halorhodospira_halophila_SL1	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA15767	GCA_000015585.1	2.67845	68
Geobacter_uraniireducens_Rf4	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA15768	GCA_000016745.1	5.13636	54.2
Hahella_chejuensis_KCTC_2396	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16064	GCA_000012985.1	7.21527	53.9
Mycolicibacterium_vanbaalenii_PYR-1	Bacteria;Terrabacteria group;Actinobacteria	PRJNA15761	GCA_000015305.1	6.49186	67.8
Paenibacillus_polymyxa_SC2	Bacteria;Terrabacteria group;Firmicutes	PRJNA52019	GCA_000164985.2	6.23851	44.5786
Leuconostoc_citreum_KM20	Bacteria;Terrabacteria group;Firmicutes	PRJNA16062	GCA_000026405.1	1.89661	38.8804
Alkaliphilus_oremlandii_OhILAs	Bacteria;Terrabacteria group;Firmicutes	PRJNA16083	GCA_000018325.1	3.12356	36.3
Flavobacterium_johnsoniae_UW101	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA16082	GCA_000016645.1	6.09687	34.1
Collimonas_fungivorans	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA299268	GCA_001584145.1	5.59973	59
Legionella_longbeachae_NSW150	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEA39579	GCA_000091785.1	4.14916	37.119
Acidothermus_cellulolyticus_11B	Bacteria;Terrabacteria group;Actinobacteria	PRJNA16097	GCA_000015025.1	2.44354	66.9
Zobellia_galactanivorans	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJEB8976	GCA_000973105.1	5.52171	42.8
Yersinia_intermedia	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEB6403	GCA_900635455.1	4.75728	47.5
Burkholderia_dolosa_AU0158	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA235220	GCA_000959505.1	6.40909	67.0353
Psychromonas_ingrahamii_37	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16187	GCA_000015285.1	4.5596	40.1
Syntrophus_aciditrophicus_SB	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA16258	GCA_000013405.1	3.1793	51.5
Ramlibacter_tataouinensis_TTB310	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA16294	GCA_000215705.1	4.07019	70
Lachnoclostridium_phytofermentans_ISDg	Bacteria;Terrabacteria group;Firmicutes	PRJNA16184	GCA_000018685.1	4.84759	35.3
Halothermothrix_orenii_H_168	Bacteria;Terrabacteria group;Firmicutes	PRJNA16377	GCA_000020485.1	2.57815	37.9
Polynucleobacter_necessarius_STIR1	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA19991	GCA_000019745.1	1.56047	45.6
Deinococcus_deserti_VCD115	Bacteria;Terrabacteria group;Deinococcus-Thermus	PRJNA16691	GCA_000020685.1	3.85533	62.9751
Propionibacterium_freudenreichii_subsp._freudenreichii	Bacteria;Terrabacteria group;Actinobacteria	PRJNA269789	GCA_000940845.1	2.64917	67.3
Chloroflexus_aggregans_DSM_9485	Bacteria;Terrabacteria group;Chloroflexi	PRJNA16708	GCA_000021945.1	4.68493	56.4
Fervidobacterium_nodosum_Rt17-B1	Bacteria;Thermotogae;Thermotogae	PRJNA16719	GCA_000017545.1	1.94894	35
Pseudomonas_entomophila_L48	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16800	GCA_000026105.1	5.88878	64.2
Pseudomonas_stutzeri	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA68131	GCA_000219605.1	4.54793	63.9
Clostridium_novyi_NT	Bacteria;Terrabacteria group;Firmicutes	PRJNA16820	GCA_000014125.1	2.54772	28.9
Moraxella_bovis	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA477706	GCA_003287015.1	2.91121	43.8791
Streptococcus_iniae	Bacteria;Terrabacteria group;Firmicutes	PRJNA271544	GCA_000831485.1	2.08696	36.8
Thermotoga_petrophila_RKU-1	Bacteria;Thermotogae;Thermotogae	PRJNA17089	GCA_000016785.1	1.82351	46.1
Granulibacter_bethesdensis_CGDNIH1	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA17111	GCA_000014285.2	2.70843	59.1
Campylobacter_concisus	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA275352	GCA_001298465.1	1.84004	37.6
Campylobacter_curvus_525.92	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA17161	GCA_000017465.2	1.97127	44.5
Verminephrobacter_eiseniae_EF01-2	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA17187	GCA_000015565.1	5.59794	65.2627
Thermosipho_melanesiensis_BI429	Bacteria;Thermotogae;Thermotogae	PRJNA17249	GCA_000016905.1	1.91524	31.4
Helicobacter_acinonychis_str._Sheeba	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA17251	GCA_000009305.1	1.55759	38.1915
Maricaulis_maris_MCS10	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA17333	GCA_000014745.1	3.36878	62.7
Frankia_alni_ACN14a	Bacteria;Terrabacteria group;Actinobacteria	PRJNA17403	GCA_000058485.1	7.49793	72.8
Paraburkholderia_phymatum_STM815	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA17409	GCA_000020045.1	8.67656	62.2803
Shewanella_pealeana_ATCC_700345	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA17415	GCA_000018285.1	5.17458	44.7
Dinoroseobacter_shibae_DFL_12_=_DSM_16493	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA17417	GCA_000018145.1	4.41787	65.5105
Ruminiclostridium_cellulolyticum_H10	Bacteria;Terrabacteria group;Firmicutes	PRJNA17419	GCA_000022065.1	4.06872	37.4
Geobacter_lovleyi_SZ	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA17423	GCA_000020385.1	3.99487	54.7653
Sphingomonas_wittichii_RW1	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA17343	GCA_000016765.1	5.91525	67.9033
Shewanella_woodyi_ATCC_51908	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA17455	GCA_000019525.1	5.9354	43.7
Pseudomonas_mendocina_ymp	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA17457	GCA_000016565.1	5.07281	64.7
Serratia_proteamaculans	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA587215	GCA_009660185.1	5.59326	54.9
Paraburkholderia_phytofirmans_PsJN	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA17463	GCA_000020125.1	8.21466	62.3159
Parvibaculum_lavamentivorans_DS-1	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA17639	GCA_000017565.1	3.91474	62.3
Shewanella_piezotolerans_WP3	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA17675	GCA_000014885.1	5.39648	43.3
Petrotoga_mobilis_SJ95	Bacteria;Thermotogae;Thermotogae	PRJNA17679	GCA_000018605.1	2.16955	34.1
Geobacter_bemidjiensis_Bem	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA17707	GCA_000020725.1	4.61515	60.3
Desulfococcus_oleovorans_Hxd3	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA18007	GCA_000018405.1	3.94417	56.2
Borrelia_duttonii_Ly	Bacteria;Spirochaetes;Spirochaetia	PRJNA18231	GCA_000019685.1	1.57488	28.0227
Borrelia_recurrentis_A1	Bacteria;Spirochaetes;Spirochaetia	PRJNA18233	GCA_000019705.1	1.24216	27.5118
Candidatus_Vesicomyosocius_okutanii_HA	Bacteria;Proteobacteria;Gammaproteobacteria	PRJDA18267	GCA_000010405.1	1.02215	31.6
Rhodospirillum_centenum_SW	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA18307	GCA_000016185.1	4.35554	70.5
Labrenzia_aggregata	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA369708	GCA_001999245.1	6.65099	58.8635
Geobacillus_thermodenitrificans_NG80-2	Bacteria;Terrabacteria group;Firmicutes	PRJNA18655	GCA_000015745.1	3.60801	48.8513
Shewanella_sediminis_HAW-EB3	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA18789	GCA_000018025.1	5.51767	46.1
Finegoldia_magna_ATCC_29328	Bacteria;Terrabacteria group;Firmicutes	PRJDA18981	GCA_000010185.1	1.98674	32.0524
Magnetospirillum_gryphiswaldense_MSR-1_v2	Bacteria;Proteobacteria;Alphaproteobacteria	PRJEB4690	GCA_000513295.1	4.3658	63.3
Neorickettsia_risticii_str._Illinois	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19099	GCA_000022525.1	0.879977	41.3
Renibacterium_salmoninarum_ATCC_33209	Bacteria;Terrabacteria group;Actinobacteria	PRJNA19227	GCA_000018885.1	3.15525	56.3
Acholeplasma_laidlawii_PG-8A	Bacteria;Terrabacteria group;Tenericutes	PRJNA19259	GCA_000018785.1	1.49699	31.9
Azorhizobium_caulinodans_ORS_571	Bacteria;Proteobacteria;Alphaproteobacteria	PRJDA19267	GCA_000010525.1	5.36977	67.3
Marinitoga_piezophila_KA3	Bacteria;Thermotogae;Thermotogae	PRJNA66025	GCA_000255135.1	2.24479	29.1839
Caldanaerobacter_subterraneus_subsp._tengcongensis_MB4	Bacteria;Terrabacteria group;Firmicutes	PRJNA249	GCA_000007085.1	2.68945	37.6
Roseobacter_litoralis_Och_149	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19357	GCA_000154785.2	4.74545	57.2249
Burkholderia_ubonensis_MSMB22	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA239258	GCA_000959245.1	7.18907	67.3091
Methylorubrum_populi_BJ001	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19559	GCA_000019945.1	5.849	69.3702
Lysinibacillus_sphaericus	Bacteria;Terrabacteria group;Firmicutes	PRJNA376811	GCA_002982115.1	4.68172	37.3
Elusimicrobium_minutum_Pei191	Bacteria;Elusimicrobia;Elusimicrobia	PRJNA19701	GCA_000020145.1	1.64356	40
Borreliella_valaisiana_Tom4006	Bacteria;Spirochaetes;Spirochaetia	PRJNA218504	GCA_000739475.1	0.992695	27.9977
Phenylobacterium_zucineum_HLK1	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19931	GCA_000017265.1	4.37923	71.0551
Flavobacterium_psychrophilum_FPG3	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA236029	GCA_000754405.1	2.71591	32.7
Opitutus_terrae_PB90-1	Bacteria;PVC group;Verrucomicrobia	PRJNA19989	GCA_000019965.1	5.95761	65.3
Pseudarthrobacter_chlorophenolicus_A6	Bacteria;Terrabacteria group;Actinobacteria	PRJNA20011	GCA_000022025.1	4.98087	65.9781
Clostridium_butyricum	Bacteria;Terrabacteria group;Firmicutes	PRJNA304074	GCA_001456065.2	4.62789	28.7132
Leptothrix_cholodnii_SP-6	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA20039	GCA_000019785.1	4.9094	68.9
Campylobacter_hominis_ATCC_BAA-381	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA20083	GCA_000017585.1	1.71495	31.7051
